iter	RMSE
0	0.9630359033
1	0.9288502708
2	0.8968715157
3	0.8668095836
4	0.838815936
5	0.812623308
6	0.7880952198
7	0.7652656895
8	0.743946884
9	0.72410114
10	0.7057264606
11	0.6886281227
12	0.6726619906
13	0.6579040168
14	0.6441486175
15	0.6314199183
16	0.6196438199
17	0.6088346429
18	0.5988165412
19	0.5895695762
20	0.5810927207
21	0.5732147899
22	0.5660487018
23	0.5594417442
24	0.5533980023
25	0.5477840956
26	0.5427075136
27	0.537963463
28	0.5336880331
29	0.5297330978
30	0.5261023583
31	0.5228059623
32	0.5198048387
33	0.5170181464
34	0.5145206608
35	0.5121990192
36	0.5100653074
37	0.5081436901
38	0.5063954106
39	0.504763652
40	0.5032948891
41	0.5019548213
42	0.5007217447
43	0.4995959468
44	0.4985363669
45	0.4976036815
46	0.4967178899
47	0.4959305916
48	0.495186531
49	0.4945235074
50	0.4939178908
51	0.493344424
52	0.4928244556
53	0.4923648325
54	0.4919245826
55	0.4915335272
56	0.4911561615
57	0.490819627
58	0.4905049282
59	0.4902176022
60	0.4899498407
61	0.4897056806
62	0.4894826969
63	0.4892811512
64	0.489091719
65	0.4889231864
66	0.4887670167
67	0.4886172594
68	0.4884782852
69	0.4883506701
70	0.4882222214
71	0.4881108953
72	0.4880071314
73	0.4879124357
74	0.4878184056
75	0.4877305978
76	0.4876499002
77	0.4875405131
78	0.4874697006
79	0.4874038701
80	0.487338064
81	0.4872747042
82	0.4872032183
83	0.4871521696
84	0.4871036049
85	0.4870585107
86	0.4870130781
87	0.486968761
88	0.4869279663
89	0.4868888898
90	0.4868351336
91	0.4868013323
92	0.4867651379
93	0.4867081744
94	0.4866578262
95	0.4866264543
96	0.4865935082
97	0.4865605264
98	0.4865340156
99	0.4865070684
100	0.4864813576
101	0.4864533871
102	0.486421684
103	0.4863969392
104	0.4863719588
105	0.4863322352
106	0.4863015116
107	0.4862808775
108	0.4862628533
109	0.4862358744
110	0.4862122582
111	0.4861954534
112	0.4861687887
113	0.4861480653
114	0.4861193222
115	0.4860947796
116	0.4860720942
117	0.4860422918
118	0.4860178122
119	0.4859925947
120	0.4859742416
121	0.4859541128
122	0.4859403805
123	0.4859227289
124	0.485901191
125	0.4858834878
126	0.4858650636
127	0.4858499553
128	0.4858377778
129	0.485813355
130	0.4857908574
131	0.4857708047
132	0.4857255868
133	0.4857106417
134	0.4856948081
135	0.4856774492
136	0.485661715
137	0.4856327756
138	0.4856142078
139	0.4856008681
140	0.4855843606
141	0.4855522823
142	0.4855373654
143	0.4855195651
144	0.4855036749
145	0.4854771734
146	0.4854660763
147	0.4854524643
148	0.4854434117
149	0.4854210647
150	0.4854047186
151	0.4853826884
152	0.4853716561
153	0.4853556773
154	0.4853402177
155	0.4853277424
156	0.4853143949
157	0.4853008121
158	0.4852739642
159	0.4852606151
160	0.4852499155
161	0.4852380416
162	0.4852184357
163	0.4852068294
164	0.4851919354
165	0.4851839347
166	0.4851675472
167	0.4851326568
168	0.4851189012
169	0.4851089869
170	0.4850994582
171	0.4850790414
172	0.4850724985
173	0.4850576507
174	0.4850190275
175	0.4849873817
176	0.4849768774
177	0.4849641578
178	0.4849440206
179	0.4849362843
180	0.4849077715
181	0.4849003368
182	0.4848895117
183	0.4848761017
184	0.484866837
185	0.4848566154
186	0.4848449333
187	0.4848326467
188	0.4848218537
189	0.4848098686
190	0.4847951471
191	0.4847747846
192	0.4847527425
193	0.4847408397
194	0.4847326133
195	0.4847234298
196	0.4847118788
197	0.4847014693
198	0.4846881044
199	0.4846795078
200	0.4846677879
201	0.4846482092
202	0.4846415429
203	0.4846340033
204	0.4846244989
205	0.4846097885
206	0.4846000485
207	0.4845855053
208	0.4845763862
209	0.4845593903
210	0.4845397233
211	0.4845290582
212	0.4845172002
213	0.4845008909
214	0.484487067
215	0.4844755944
216	0.4844628953
217	0.4844573183
218	0.4844502294
219	0.4844357993
220	0.4844282061
221	0.4844136409
222	0.4844017466
223	0.4843898183
224	0.484377621
225	0.4843709341
226	0.4843667842
227	0.4843536622
228	0.484347227
229	0.4843393132
230	0.4843316177
231	0.4843208639
232	0.4843025988
233	0.4842957428
234	0.4842872232
235	0.4842806528
236	0.4842674612
237	0.4842539499
238	0.4842489923
239	0.4842390434
240	0.4842346235
241	0.4842234474
242	0.4842123719
243	0.4841982372
244	0.4841889932
245	0.4841768076
246	0.4841726392
247	0.4841662521
248	0.4841519816
249	0.4841411902
250	0.4841273392
251	0.484119052
252	0.4841043935
253	0.4840919368
254	0.4840834808
255	0.4840767731
256	0.4840692079
257	0.4840610037
258	0.4840529003
259	0.4840457046
260	0.4840375337
261	0.4840236965
262	0.4840094387
263	0.4839988291
264	0.4839885555
265	0.4839813252
266	0.4839656873
267	0.4839563043
268	0.4839467024
269	0.4839279187
270	0.4839200653
271	0.4839086128
272	0.4838923671
273	0.4838798376
274	0.4838687543
275	0.4838590498
276	0.4838494629
277	0.4838364446
278	0.4838233754
279	0.4838100704
280	0.4838015086
281	0.4837850574
282	0.4837735513
283	0.4837677141
284	0.4837517159
285	0.4837376015
286	0.4837281804
287	0.4837214341
288	0.4836982504
289	0.483690511
290	0.4836819302
291	0.4836736017
292	0.4836626987
293	0.4836509878
294	0.4836446274
295	0.4836254954
296	0.483616476
297	0.4836052856
298	0.4835959966
299	0.4835827021
300	0.483575937
301	0.4835670176
302	0.4835558766
303	0.4835422445
304	0.4835277536
305	0.4835200789
306	0.4835099298
307	0.4834988043
308	0.4834914657
309	0.4834841775
310	0.4834759129
311	0.4834691294
312	0.4834590634
313	0.4834464049
314	0.4834411697
315	0.4834350759
316	0.4834283424
317	0.4834168783
318	0.4834087473
319	0.4834016093
320	0.4833900941
321	0.4833830401
322	0.4833723325
323	0.4833668945
324	0.4833608671
325	0.4833559172
326	0.483349755
327	0.4833420943
328	0.4833325308
329	0.4833253075
330	0.4833173264
331	0.4833096988
332	0.4833024752
333	0.4832891559
334	0.4832781095
335	0.48327198
336	0.4832630887
337	0.4832565043
338	0.4832494483
339	0.4832388557
340	0.4832272693
341	0.4832216107
342	0.4832118595
343	0.4832036576
344	0.483196163
345	0.4831868324
346	0.4831788153
347	0.4831713708
348	0.483161147
349	0.4831542749
350	0.4831463921
351	0.4831405473
352	0.4831278973
353	0.4831183632
354	0.4831135961
355	0.4831067739
356	0.4830984186
357	0.4830925732
358	0.4830830047
359	0.483077934
360	0.483065872
361	0.4830618794
362	0.4830529337
363	0.4830409047
364	0.4830336771
365	0.4830187498
366	0.4830106962
367	0.4830044622
368	0.482994117
369	0.482986737
370	0.482978009
371	0.4829716398
372	0.4829625576
373	0.4829554973
374	0.4829483864
375	0.4829395734
376	0.4829297828
377	0.4829182901
378	0.4829119369
379	0.4829038816
380	0.4828957924
381	0.4828873324
382	0.4828795295
383	0.4828726196
384	0.482861412
385	0.4828536255
386	0.4828491592
387	0.4828333834
388	0.4828266078
389	0.4828191073
390	0.4828124326
391	0.4828044767
392	0.4827939755
393	0.4827837437
394	0.4827784171
395	0.4827729892
396	0.4827630099
397	0.4827558118
398	0.4827477707
399	0.4827397801
400	0.4827323626
401	0.4827265296
402	0.4827102946
403	0.4827028429
404	0.4826968578
405	0.4826882762
406	0.4826778905
407	0.4826716859
408	0.4826648743
409	0.4826581974
410	0.4826500536
411	0.4826432416
412	0.4826381158
413	0.4826323491
414	0.4826236315
415	0.4826164988
416	0.4826064656
417	0.4825988268
418	0.4825938859
419	0.4825846617
420	0.4825759264
421	0.4825671235
422	0.4825610355
423	0.482557494
424	0.4825519456
425	0.4825448624
426	0.4825392127
427	0.4825350976
428	0.4825257205
429	0.4825197332
430	0.4825111485
431	0.4825040479
432	0.4824936919
433	0.48248622
434	0.4824806033
435	0.4824725745
436	0.4824666372
437	0.4824570057
438	0.482445468
439	0.4824423642
440	0.482436747
441	0.482432513
442	0.4824170778
443	0.4824084744
444	0.4823994154
445	0.4823929204
446	0.4823861386
447	0.4823785975
448	0.4823687618
449	0.4823620134
450	0.4823553155
451	0.4823498829
452	0.4823431848
453	0.4823372796
454	0.4823326735
455	0.4823266501
456	0.4823212678
457	0.4823116334
458	0.4823063859
459	0.482302252
460	0.4822934271
461	0.4822847709
462	0.4822788313
463	0.4822704448
464	0.4822650281
465	0.4822581769
466	0.482251157
467	0.4822470732
468	0.4822402555
469	0.4822333872
470	0.4822250168
471	0.4822189583
472	0.4822111783
473	0.4822048495
474	0.4821999215
475	0.4821936771
476	0.482185981
477	0.4821795845
478	0.482172614
479	0.4821655253
480	0.4821556009
481	0.482149187
482	0.4821414397
483	0.482134283
484	0.4821304345
485	0.4821240878
486	0.4821174035
487	0.4821113436
488	0.4821046591
489	0.4821008273
490	0.4820951048
491	0.4820898887
492	0.4820815327
493	0.4820747296
494	0.4820664408
495	0.4820617646
496	0.4820567845
497	0.4820538639
498	0.48204755
499	0.4820405439
