iter	Passed	Remaining
0	6	3484
1	13	3291
2	18	3139
3	24	3013
4	29	2898
5	35	2921
6	41	2923
7	46	2848
8	51	2809
9	56	2770
10	62	2774
11	67	2753
12	73	2753
13	78	2730
14	89	2909
15	96	2917
16	102	2915
17	107	2890
18	113	2867
19	118	2832
20	123	2808
21	128	2787
22	133	2761
23	138	2737
24	143	2721
25	148	2706
26	153	2690
27	158	2671
28	163	2658
29	169	2647
30	174	2636
31	179	2623
32	189	2677
33	194	2659
34	199	2643
35	204	2639
36	210	2632
37	215	2624
38	221	2616
39	226	2609
40	232	2605
41	238	2601
42	243	2592
43	249	2585
44	255	2579
45	260	2570
46	266	2566
47	271	2560
48	277	2549
49	281	2533
50	286	2519
51	291	2512
52	298	2517
53	304	2511
54	309	2506
55	314	2495
56	320	2489
57	325	2480
58	330	2471
59	336	2464
60	341	2455
61	346	2448
62	351	2440
63	357	2435
64	363	2431
65	369	2426
66	375	2423
67	381	2423
68	388	2423
69	393	2418
70	400	2418
71	406	2418
72	412	2413
73	417	2403
74	422	2396
75	428	2388
76	433	2379
77	438	2371
78	443	2364
79	449	2358
80	454	2350
81	460	2345
82	466	2344
83	471	2336
84	476	2328
85	482	2322
86	487	2315
87	491	2303
88	496	2295
89	502	2289
90	508	2285
91	514	2280
92	520	2276
93	525	2270
94	531	2267
95	537	2262
96	543	2256
97	549	2252
98	554	2246
99	560	2242
100	566	2236
101	571	2231
102	578	2228
103	583	2221
104	589	2216
105	594	2210
106	600	2204
107	606	2199
108	611	2192
109	615	2183
110	620	2173
111	625	2165
112	630	2158
113	636	2153
114	642	2149
115	647	2144
116	653	2137
117	658	2131
118	664	2128
119	669	2121
120	675	2117
121	680	2108
122	686	2103
123	691	2095
124	696	2089
125	701	2082
126	707	2076
127	712	2070
128	717	2063
129	722	2056
130	728	2051
131	733	2046
132	738	2039
133	743	2031
134	749	2026
135	755	2020
136	761	2016
137	767	2012
138	773	2007
139	778	2001
140	784	1998
141	790	1993
142	795	1986
143	800	1979
